n,seconds
1,0.0000132950
2,0.0000035270
3,0.0000049590
4,0.0000104800
5,0.0000214800
6,0.0000464470
7,0.0001026620
8,0.0002558800
9,0.0004892170
10,0.0013719810
11,0.0022505870
12,0.0053151560
13,0.0102044420
14,0.0221769020
15,0.0466217720
16,0.0989552780
17,0.2054873890
18,0.4336152320
19,0.8767761990
20,1.8028548540
21,3.8148896230
22,7.6769038630
