n,seconds
133,0.0000952590
134,0.0001091850
135,0.0001241620
136,0.0001107270
137,0.0001090040
138,0.0001082020
139,0.0001126410
140,0.0001090740
141,0.0001609460
142,0.0001706600
143,0.0001221490
144,0.0001149550
145,0.0001120000
146,0.0001255360
147,0.0001422710
148,0.0001191030
149,0.0001218890
150,0.0001224300
151,0.0001126410
152,0.0001318770
153,0.0001240830
154,0.0001255050
155,0.0001223400
156,0.0001199140
157,0.0001271180
158,0.0001802790
159,0.0001572550
160,0.0001540090
161,0.0001407640
162,0.0001441400
163,0.0001763460
164,0.0001346720
165,0.0001336810
166,0.0001397020
167,0.0001294820
168,0.0001373780
169,0.0002028030
170,0.0001422160
171,0.0001362450
172,0.0001472460
173,0.0001436190
174,0.0001679510
175,0.0001518750
176,0.0001486190
177,0.0001564530
178,0.0001550500
179,0.0001664420
180,0.0001438100
181,0.0001410850
182,0.0001467750
183,0.0001540280
184,0.0001673840
185,0.0001565130
186,0.0001596490
187,0.0001540280
188,0.0001509930
189,0.0001696180
190,0.0001531270
191,0.0001519750
192,0.0001578960
193,0.0001690670
194,0.0001836840
195,0.0001611120
196,0.0001654700
197,0.0001691360
198,0.0001627150
199,0.0001952550
200,0.0001609410
201,0.0001617130
202,0.0001648090
203,0.0001756690
204,0.0001668020
205,0.0001730640
206,0.0001698380
207,0.0001777330
208,0.0002064560
209,0.0002017280
210,0.0001743360
211,0.0001881830
212,0.0002016780
213,0.0001752180
214,0.0001824120
215,0.0001794660
216,0.0001822220
217,0.0001736450
218,0.0001844160
219,0.0001814400
220,0.0001898060
221,0.0002133800
222,0.0001853180
223,0.0001848460
224,0.0001973690
225,0.0002093120
226,0.0001864290
227,0.0001829130
228,0.0002048240
229,0.0002173770
230,0.0002304320
231,0.0002108950
232,0.0002148020
233,0.0002288190
234,0.0001927510
235,0.0002096930
236,0.0002006760
237,0.0002554270
238,0.0002125580
239,0.0002039020
240,0.0001997340
241,0.0002052450
242,0.0002090310
243,0.0002267450
244,0.0003006040
245,0.0002282270
246,0.0002470120
247,0.0002182890
248,0.0002224160
249,0.0002158750
250,0.0002154340
251,0.0002788280
252,0.0002305920
253,0.0002172070
254,0.0002595150
255,0.0002232380
256,0.0002205230
257,0.0002354810
258,0.0002623830
259,0.0002207040
260,0.0002350800
261,0.0002804560
262,0.0002323750
263,0.0002283180
264,0.0002774750
265,0.0002349400
266,0.0002208030
267,0.0002519120
268,0.0002545270
269,0.0002384170
270,0.0002433460
271,0.0002820390
272,0.0002359520
273,0.0002397300
274,0.0002558000
275,0.0002507700
276,0.0002583040
277,0.0002572720
278,0.0002469420
279,0.0002476440
280,0.0002515510
281,0.0003131070
282,0.0002515010
283,0.0002550680
284,0.0002495570
285,0.0002719100
286,0.0002738430
287,0.0002807660
288,0.0002658480
289,0.0002451790
290,0.0003028170
291,0.0002639740
292,0.0002607490
293,0.0002533750
294,0.0002601080
295,0.0002685630
296,0.0003025670
297,0.0003103210
298,0.0002592050
299,0.0002786020
300,0.0002585040
301,0.0002670800
302,0.0003976250
303,0.0003676490
304,0.0003005830
305,0.0002687940
306,0.0002674310
307,0.0003515490
308,0.0002747450
309,0.0002733620
310,0.0002938310
311,0.0003021660
312,0.0003037190
313,0.0002800350
314,0.0002773600
315,0.0003524520
316,0.0002874780
317,0.0003022870
318,0.0002799750
319,0.0003077070
320,0.0002989300
321,0.0003002820
322,0.0002932200
323,0.0002954640
324,0.0003244180
325,0.0002867970
326,0.0003399960
327,0.0003056020
328,0.0003732250
329,0.0003108520
330,0.0003002730
331,0.0002996210
332,0.0002867670
333,0.0002907840
334,0.0003219940
335,0.0003073060
336,0.0003365000
337,0.0003067750
338,0.0003064140
339,0.0003599040
340,0.0003125160
341,0.0003589730
342,0.0003484530
343,0.0004458760
344,0.0004745390
345,0.0004788880
346,0.0003837290
347,0.0003494350
348,0.0003302990
349,0.0003139680
350,0.0004229130
351,0.0003256610
352,0.0003353580
353,0.0003318820
354,0.0003183960
355,0.0003948050
356,0.0003197700
357,0.0003635060
358,0.0003265020
359,0.0004317620
360,0.0004912800
361,0.0005478740
362,0.0004645900
363,0.0005232200
364,0.0004423890
365,0.0003436840
366,0.0003468400
367,0.0003729930
368,0.0003556070
369,0.0003670380
370,0.0003310500
371,0.0003810840
372,0.0003548950
373,0.0003526410
374,0.0003590830
375,0.0003562170
376,0.0003836190
377,0.0003701940
378,0.0003523400
379,0.0004049280
380,0.0003762250
381,0.0003628490
382,0.0003634210
383,0.0004566960
384,0.0003633410
385,0.0003896600
386,0.0003704040
387,0.0003824460
388,0.0003608460
389,0.0003788000
390,0.0003722070
391,0.0004167110
392,0.0003476110
393,0.0004742790
394,0.0003841700
395,0.0003628400
396,0.0004071020
397,0.0003881970
398,0.0004948790
399,0.0004094570
400,0.0003656250
401,0.0004451590
402,0.0005400670
403,0.0005128910
404,0.0005720910
405,0.0004227220
406,0.0004160500
407,0.0003856320
408,0.0004203230
409,0.0003824070
410,0.0004336280
411,0.0003754740
412,0.0004285230
413,0.0004141960
414,0.0004511290
415,0.0004019330
416,0.0003837590
417,0.0003852410
418,0.0003875360
419,0.0004332620
420,0.0003913840
421,0.0004356560
422,0.0003979360
423,0.0004119220
424,0.0003944990
425,0.0004235640
426,0.0004049380
427,0.0004254970
428,0.0004042080
429,0.0004232530
430,0.0004096280
431,0.0004093870
432,0.0004073640
433,0.0004257280
434,0.0003789100
435,0.0004210890
436,0.0004106290
437,0.0004340330
438,0.0003939480
439,0.0004262090
440,0.0004181940
441,0.0005069960
442,0.0004217400
443,0.0004525780
444,0.0004281320
445,0.0004602730
446,0.0004435310
447,0.0004255070
448,0.0004286330
449,0.0004630910
450,0.0004088760
451,0.0004149870
452,0.0004621160
453,0.0004480690
454,0.0004255870
455,0.0004707220
456,0.0004396640
457,0.0004359770
458,0.0004361570
459,0.0004547220
460,0.0004407060
461,0.0004335020
462,0.0004368280
463,0.0004566050
464,0.0004501530
465,0.0004706820
466,0.0004362470
467,0.0004894970
468,0.0004243850
469,0.0004557040
470,0.0004606730
471,0.0004400240
472,0.0004528080
473,0.0004357360
474,0.0004887150
475,0.0004594610
476,0.0005034500
477,0.0004444530
478,0.0004512260
479,0.0004617250
480,0.0004949620
481,0.0004525280
482,0.0004684780
483,0.0004487010
484,0.0004753400
485,0.0004957790
486,0.0004806800
487,0.0005215770
488,0.0004825040
489,0.0005002080
490,0.0005559510
491,0.0004643500
492,0.0004901120
493,0.0004904190
494,0.0005254040
495,0.0004593610
496,0.0007088180
497,0.0007041490
498,0.0006937900
499,0.0006808750
500,0.0006681720
501,0.0005280390
502,0.0004803600
503,0.0005630850
504,0.0004903890
505,0.0004855600
506,0.0005108880
507,0.0004966110
508,0.0005329480
509,0.0005169100
510,0.0004776750
511,0.0005155860
512,0.0004854200
513,0.0005614070
514,0.0005268070
515,0.0004986150
516,0.0005289010
517,0.0005155360
518,0.0005475490
519,0.0005223980
520,0.0004884750
521,0.0005279490
522,0.0004888760
523,0.0005257620
524,0.0006160380
525,0.0004951180
526,0.0005677190
527,0.0005286700
528,0.0005231100
529,0.0005273080
530,0.0005500810
531,0.0005131610
532,0.0005166680
533,0.0005042340
534,0.0005489690
535,0.0005913380
536,0.0005431370
537,0.0005621240
538,0.0005623740
539,0.0005399020
540,0.0005157060
541,0.0005365050
542,0.0005312150
543,0.0005102860
544,0.0005020910
545,0.0005779060
546,0.0005616120
547,0.0005349830
548,0.0006001990
549,0.0005814190
550,0.0005588670
551,0.0005604550
552,0.0005745960
553,0.0005496500
554,0.0005225990
555,0.0005730340
556,0.0005434480
557,0.0005783140
558,0.0005389490
559,0.0005774420
560,0.0005654300
561,0.0005361540
562,0.0005365850
563,0.0005543680
564,0.0005474660
565,0.0005735050
566,0.0005689960
567,0.0005395710
568,0.0005497000
569,0.0006208330
570,0.0006152230
571,0.0006122870
572,0.0008530080
573,0.0008436260
574,0.0006196170
575,0.0007309740
576,0.0006245960
577,0.0006260140
578,0.0006140450
579,0.0006233530
580,0.0005686950
581,0.0005890640
582,0.0005897450
583,0.0005641770
584,0.0005630440
585,0.0006596460
586,0.0005867390
587,0.0005569030
588,0.0005871000
589,0.0005901860
590,0.0005785140
591,0.0006062060
592,0.0005999840
593,0.0005892340
594,0.0005853370
595,0.0005991930
596,0.0006048940
597,0.0006013370
598,0.0005991020
599,0.0005939120
600,0.0006243500
601,0.0006516100
602,0.0006288990
603,0.0006090110
604,0.0006215150
605,0.0005875210
606,0.0006202320
607,0.0005963470
608,0.0006275050
609,0.0006148990
610,0.0005975790
611,0.0007170640
612,0.0006006150
613,0.0006211730
614,0.0005844650
615,0.0006377340
616,0.0006256720
617,0.0006010960
618,0.0006498780
619,0.0006689830
620,0.0007001720
621,0.0005949550
622,0.0005943840
623,0.0006044430
624,0.0006163550
625,0.0006301800
626,0.0006671700
627,0.0006425140
628,0.0006183490
629,0.0005792950
630,0.0007745520
631,0.0006844930
632,0.0006482640
633,0.0006174570
634,0.0006197710
635,0.0007129700
636,0.0006461260
637,0.0006085900
638,0.0007000860
639,0.0006775150
640,0.0006637330
641,0.0006450480
642,0.0006558590
643,0.0006951930
644,0.0006552880
645,0.0006340480
646,0.0006559290
647,0.0006635430
648,0.0006369130
649,0.0006257420
650,0.0006497380
651,0.0007051210
652,0.0006757360
653,0.0006724900
654,0.0006671000
655,0.0006609590
656,0.0007063330
657,0.0006462210
658,0.0006492960
659,0.0006779140
660,0.0007226130
661,0.0006702910
662,0.0006679210
663,0.0006768580
664,0.0006987690
665,0.0006960340
666,0.0006334770
667,0.0006482040
668,0.0007029930
669,0.0007153380
670,0.0007282370
671,0.0007075560
672,0.0006635840
673,0.0006767480
674,0.0006970460
675,0.0006780210
676,0.0007599940
677,0.0006817270
678,0.0007527110
679,0.0006746840
680,0.0006910190
681,0.0006463110
682,0.0007292160
683,0.0007201550
684,0.0006643750
685,0.0007388750
686,0.0007677690
687,0.0007347720
688,0.0007286540
689,0.0007074360
690,0.0007190380
691,0.0007452570
692,0.0007176410
693,0.0006869470
694,0.0006968660
695,0.0007100400
696,0.0006903840
697,0.0007111930
698,0.0006926880
699,0.0007006820
700,0.0007008740
701,0.0008040260
702,0.0007088820
703,0.0007761550
704,0.0007846660
705,0.0007151100
706,0.0009240860
707,0.0008429140
708,0.0007712860
709,0.0007709540
710,0.0007231910
711,0.0007343460
712,0.0007502510
713,0.0007367700
714,0.0007701830
715,0.0007334450
716,0.0007781880
717,0.0007720570
718,0.0007317410
719,0.0007157510
720,0.0007367800
721,0.0007814140
722,0.0007268820
723,0.0007684500
724,0.0007326630
725,0.0007240870
726,0.0007505320
727,0.0007743210
728,0.0007991070
729,0.0007593420
730,0.0007831910
731,0.0006914850
732,0.0007734090
733,0.0007768440
734,0.0007601450
735,0.0007684400
736,0.0007716260
737,0.0007487930
738,0.0007816050
739,0.0007606350
740,0.0007459280
741,0.0007785190
742,0.0007613170
743,0.0007950390
744,0.0007540330
745,0.0007510570
746,0.0007510270
747,0.0007556550
748,0.0008116410
