n,seconds
1,0.0000477700
2,0.0000026150
3,0.0000030750
4,0.0000054300
5,0.0000103490
6,0.0000202780
7,0.0000437420
8,0.0000914410
9,0.0001966380
10,0.0004492220
11,0.0009218170
12,0.0020845260
13,0.0041869040
14,0.0090228490
15,0.0194683280
16,0.0411334660
17,0.0857611060
18,0.1799796360
19,0.3836281300
20,0.7920182120
21,1.6707463410
22,3.7296135000
